ChainID,SubChainID,StoreID,BikoretNo,PriceUpdateDate,ItemCode,ItemType,ItemName,ManufactureName,ManufactureCountry,ManufactureItemDescription,UnitQty,Quantity,UnitMeasure,BisWeighted,QtyInPackage,ItemPrice,UnitOfMeasurePrice,AllowDiscount,itemStatus,LastUpdateDate,LastUpdateTime
7.2907E+12,1,77,0,2015/11/30 10:54,142,0,פיתה,מאפיית כפיר צ. ידעי בעמ,,,יח`,1,,0,1,1.5,1.5,0,1,,
7.2907E+12,1,77,0,2018/11/05 14:17,600,0,סנדוויץ` עובד,קבוצת אסם סחר שות. מוגבלת,,,יח`,1,,0,1,3.5,3.5,0,1,,
7.2907E+12,1,77,0,2020/04/06 17:41,2001,0,אשכולית,מהדרין תנופורט יצוא ( ש.מ.),,,"ק""ג",1,,1,1,5.9,5.9,1,1,,
7.2907E+12,1,77,0,2019/11/24 12:42,2002,0,אשכולית אדומה,תעשיות תוצרת חקלאית אביטן בני,,,"ק""ג",1,,1,1,5.9,5.9,1,1,,
7.2907E+12,1,77,0,2020/04/22 09:28,2003,0,אבוקדו,צמח שיווק תוצרת חקלאית אגשח בע,,,"ק""ג",1,,1,1,15.9,15.9,1,1,,
7.2907E+12,1,77,0,2020/02/23 13:57,2004,0,אבטיח,יבולי החמישה ו.ב,,,"ק""ג",1,,1,1,5.9,5.9,1,1,,
7.2907E+12,1,77,0,2020/04/19 16:08,2006,0,ארטישוק,ג`אן ציון,,,"ק""ג",1,,1,1,6.9,6.9,1,1,,
7.2907E+12,1,77,0,2020/03/15 13:04,2007,0,בטטה,החקלאי תלמי אל-בועז חדד,,,"ק""ג",1,,1,1,8.9,8.9,1,1,,
7.2907E+12,1,77,0,2020/05/03 15:33,2009,0,בננות,גליל שוק מקומי אגשח בעמ,,,"ק""ג",1,,1,1,6.9,6.9,1,1,,
7.2907E+12,1,77,0,2020/05/03 15:33,2010,0,בצל יבש,אום אל נור לגידולים חקלאיים בע,,,"ק""ג",1,,1,1,3.9,3.9,1,1,,
7.2907E+12,1,77,0,2013/12/31 13:00,7.29001E+12,1,בצל ירוק,א.אדמה (2007) בעמ,,,יח`,1,,0,1,6,6,1,1,,
7.2907E+12,1,77,0,2020/04/06 17:42,2012,0,אננס,ח.ע בסד שיווק פירות בעמ,,,יח`,1,,0,1,39.9,39.9,1,1,,
7.2907E+12,1,77,0,2020/04/19 16:08,2014,0,גזר ארוז,גזר שליט (חוות מיכאל)בעמ,,,"ק""ג",1,,1,1,4.9,4.9,1,1,,
7.2907E+12,1,77,0,2020/04/06 17:42,2015,0,דלעת,שוסטר תעשיות מזון בעמ,,,"ק""ג",1,,1,1,12.9,12.9,1,1,,
