video_url,title,description,length,length_in_minutes,views,upload_date,related_tags,translations,speaker_name,speaker_profession
https://www.ted.com/talks/sir_ken_robinson_do_schools_kill_creativity,Do schools kill creativity?,Sir Ken Robinson makes an entertaining and profoundly moving case for creating an education system that nurtures (rather than undermines) creativity.,00:19:14,19.233333333333334,66102781,2006-06-27T00:11:00+00:00,"['children', 'creativity', 'culture', 'dance', 'education', 'parenting', 'teaching']","['Afrikaans', 'Azərbaycan dili', 'Bahasa Indonesia', 'Català', 'Dansk', 'Deutsch', 'Eesti keel', 'English', 'Español', 'Esperanto', 'Euskara', 'Filipino', 'Français', 'Français canadien', 'Galego', 'Hrvatski', 'Italiano', 'Latviešu', 'Lietuvių kalba', 'Magyar', 'Nederlands', 'Norsk bokmål', ""O'zbek"", 'Polski', 'Português brasileiro', 'Português de Portugal', 'Română', 'Shqip', 'Slovenčina', 'Slovenščina', 'Suomi', 'Svenska', 'Tiếng Việt', 'Türkçe', 'Čeština', 'Ελληνικά', 'Беларуская мова', 'Монгол', 'Русский', 'Српски, Srpski', 'Українська', 'български', 'гӀалгӀай мотт', 'македонски', 'Հայրեն', 'עברית', 'العربية', 'اُردُو', 'فارسى', 'کوردی', 'नेपाली', 'मराठी', 'বাংলা', 'ಕನ್ನಡ', 'ภาษาไทย', 'ພາສາລາວ', 'ქართული', '中文 (简体)', '中文 (繁體)', '日本語', '한국어']",Sir Ken Robinson,"Author, educator"
https://www.ted.com/talks/james_veitch_this_is_what_happens_when_you_reply_to_spam_email,This is what happens when you reply to spam email,"Suspicious emails: unclaimed insurance bonds, diamond-encrusted safe deposit boxes, close friends marooned in a foreign country. They pop up in our inboxes, and standard procedure is to delete on sight. But what happens when you reply? Follow along as writer and comedian James Veitch narrates a hilarious, weeks-long exchange with a spammer who offered to cut him in on a hot deal.",00:09:40,9.666666666666666,61315684,2016-01-08T16:03:40+00:00,"['comedy', 'curiosity', 'communication', 'humor', 'technology']","['Bahasa Indonesia', 'Bahasa melayu', 'Català', 'Dansk', 'Deutsch', 'English', 'Español', 'Français', 'Français canadien', 'Galego', 'Hrvatski', 'Italiano', 'Latviešu', 'Lietuvių kalba', 'Magyar', 'Nederlands', 'Polski', 'Português brasileiro', 'Português de Portugal', 'Română', 'Slovenčina', 'Slovenščina', 'Suomi', 'Svenska', 'Tiếng Việt', 'Türkçe', 'Čeština', 'Ελληνικά', 'Беларуская мова', 'Монгол', 'Русский', 'Српски, Srpski', 'Українська', 'български', 'македонски', 'עברית', 'العربية', 'فارسى', 'मराठी', 'हिन्दी', 'ગુજરાતી', 'ภาษาไทย', '中文 (简体)', '中文 (粵語)', '中文 (繁體)', '日本語', '한국어']",James Veitch,Comedian and writer
https://www.ted.com/talks/amy_cuddy_your_body_language_may_shape_who_you_are,Your body language may shape who you are,"(NOTE: Some of the findings presented in this talk have been referenced in an ongoing debate among social scientists about robustness and reproducibility. Read ""Criticisms & updates"" below for more details as well as Amy Cuddy's response.) Body language affects how others see us, but it may also change how we see ourselves. Social psychologist Amy Cuddy argues that ""power posing"" -- standing in a posture of confidence, even when we don't feel confident -- can boost feelings of confidence, and might have an impact on our chances for success.",00:20:48,20.8,58184007,2012-10-01T15:00:08+00:00,"['body language', 'brain', 'business', 'psychology', 'self', 'success', 'science']","['Azərbaycan dili', 'Bahasa Indonesia', 'Català', 'Dansk', 'Deutsch', 'Eesti keel', 'English', 'Español', 'Français', 'Français canadien', 'Galego', 'Hrvatski', 'Italiano', 'Latviešu', 'Magyar', 'Nederlands', 'Norsk bokmål', 'Polski', 'Português brasileiro', 'Português de Portugal', 'Română', 'Shqip', 'Slovenčina', 'Slovenščina', 'Suomi', 'Svenska', 'Tiếng Việt', 'Türkçe', 'Čeština', 'Ελληνικά', 'Монгол', 'Русский', 'Српски, Srpski', 'Українська', 'български', 'македонски', 'Қазақ тілі', 'Հայրեն', 'עברית', 'العربية', 'فارسى', 'کوردی', 'मराठी', 'தமிழ்', 'ภาษาไทย', 'မြန်မာဘာသာ', 'ქართული', '中文 (简体)', '中文 (繁體)', '日本語', '한국어']",Amy Cuddy,Social psychologist
https://www.ted.com/talks/simon_sinek_how_great_leaders_inspire_action,How great leaders inspire action,"Simon Sinek has a simple but powerful model for inspirational leadership -- starting with a golden circle and the question: ""Why?"" His examples include Apple, Martin Luther King Jr. and the Wright brothers ...",00:17:49,17.816666666666666,51050386,2010-05-04T09:31:00+00:00,"['TEDx', 'business', 'entrepreneur', 'leadership', 'success']","['Bahasa Indonesia', 'Català', 'Dansk', 'Deutsch', 'Eesti keel', 'English', 'Español', 'Esperanto', 'Français', 'Hrvatski', 'Italiano', 'Latviešu', 'Lietuvių kalba', 'Magyar', 'Nederlands', 'Norsk bokmål', 'Polski', 'Português brasileiro', 'Português de Portugal', 'Română', 'Shqip', 'Slovenčina', 'Slovenščina', 'Svenska', 'Tiếng Việt', 'Türkçe', 'Čeština', 'Ελληνικά', 'Монгол', 'Русский', 'Српски, Srpski', 'Українська', 'български', 'македонски', 'Հայրեն', 'עברית', 'العربية', 'فارسى', 'کوردی', 'मराठी', 'বাংলা', 'தமிழ்', 'ภาษาไทย', 'ქართული', '中文 (简体)', '中文 (繁體)', '日本語', '한국어']",Simon Sinek,Leadership expert
https://www.ted.com/talks/brene_brown_the_power_of_vulnerability,The power of vulnerability,"Brené Brown studies human connection -- our ability to empathize, belong, love. In a poignant, funny talk, she shares a deep insight from her research, one that sent her on a personal quest to know herself as well as to understand humanity. A talk to share.",00:20:04,20.066666666666666,49172769,2010-12-23T14:45:00+00:00,"['TEDx', 'communication', 'culture', 'depression', 'fear', 'mental health', 'psychology', 'self', 'social change']","['Bahasa Indonesia', 'Bahasa melayu', 'Català', 'Dansk', 'Deutsch', 'Eesti keel', 'English', 'Español', 'Euskara', 'Français', 'Hrvatski', 'Italiano', 'Latviešu', 'Lietuvių kalba', 'Magyar', 'Nederlands', 'Norsk bokmål', 'Norsk nynorsk', 'Polski', 'Português brasileiro', 'Português de Portugal', 'Română', 'Shqip', 'Slovenčina', 'Slovenščina', 'Suomi', 'Svenska', 'Tiếng Việt', 'Türkçe', 'Čeština', 'Ελληνικά', 'Беларуская мова', 'Монгол', 'Русский', 'Српски, Srpski', 'Українська', 'български', 'македонски', 'Հայրեն', 'עברית', 'العربية', 'فارسى', 'کوردی', 'मराठी', 'हिन्दी', 'தமிழ்', 'ภาษาไทย', 'ქართული', '中文 (简体)', '中文 (繁體)', '日本語', '한국어']",Brené Brown,"Vulnerability researcher, storyteller"
https://www.ted.com/talks/julian_treasure_how_to_speak_so_that_people_want_to_listen,How to speak so that people want to listen,"Have you ever felt like you're talking, but nobody is listening? Here's Julian Treasure to help. In this useful talk, the sound expert demonstrates the how-to's of powerful speaking -- from some handy vocal exercises to tips on how to speak with empathy. A talk that might help the world sound more beautiful.",00:09:46,9.766666666666667,43045325,2014-06-27T14:38:17+00:00,"['culture', 'sound', 'speech']","['Bahasa Indonesia', 'Bahasa melayu', 'Català', 'Crnogorski', 'Dansk', 'Deutsch', 'English', 'Español', 'Français', 'Galego', 'Hrvatski', 'Italiano', 'Latviešu', 'Lietuvių kalba', 'Magyar', 'Nederlands', 'Norsk bokmål', ""O'zbek"", 'Polski', 'Português brasileiro', 'Português de Portugal', 'Română', 'Slovenčina', 'Slovenščina', 'Suomi', 'Svenska', 'Tiếng Việt', 'Türkçe', 'Čeština', 'Ελληνικά', 'Монгол', 'Русский', 'Српски, Srpski', 'Українська', 'български', 'Հայրեն', 'עברית', 'العربية', 'اُردُو', 'فارسى', 'کوردی', 'ภาษาไทย', 'မြန်မာဘာသာ', '中文 (简体)', '中文 (繁體)', '日本語', '한국어']",Julian Treasure,Sound consultant
https://www.ted.com/talks/tim_urban_inside_the_mind_of_a_master_procrastinator,Inside the mind of a master procrastinator,"Tim Urban knows that procrastination doesn't make sense, but he's never been able to shake his habit of waiting until the last minute to get things done. In this hilarious and insightful talk, Urban takes us on a journey through YouTube binges, Wikipedia rabbit holes and bouts of staring out the window -- and encourages us to think harder about what we're really procrastinating on, before we run out of time.",00:13:56,13.933333333333334,40397724,2016-03-15T18:36:59+00:00,"['brain', 'comedy', 'decision-making', 'entertainment', 'goal-setting', 'humor', 'Internet', 'mind', 'productivity', 'online video', 'time', 'visualizations', 'work', 'writing', 'choice']","['Bahasa Indonesia', 'Català', 'Dansk', 'Deutsch', 'English', 'Español', 'Français', 'Français canadien', 'Galego', 'Hrvatski', 'Italiano', 'Latviešu', 'Lietuvių kalba', 'Magyar', 'Nederlands', ""O'zbek"", 'Polski', 'Português brasileiro', 'Português de Portugal', 'Română', 'Slovenščina', 'Suomi', 'Svenska', 'Tiếng Việt', 'Türkçe', 'Čeština', 'Ελληνικά', 'Монгол', 'Русский', 'Српски, Srpski', 'Українська', 'български', 'עברית', 'العربية', 'اُردُو', 'فارسى', 'کوردی', 'मराठी', 'ภาษาไทย', 'မြန်မာဘာသာ', '中文 (简体)', '中文 (繁體)', '日本語', '한국어']",Tim Urban,Blogger
https://www.ted.com/talks/bill_gates_the_next_outbreak_we_re_not_ready,The next outbreak? We're not ready,"In 2014, the world avoided a global outbreak of Ebola, thanks to thousands of selfless health workers -- plus, frankly, some very good luck. In hindsight, we know what we should have done better. So, now's the time, Bill Gates suggests, to put all our good ideas into practice, from scenario planning to vaccine research to health worker training. As he says, ""There's no need to panic ... but we need to get going.""",00:08:25,8.416666666666666,36762291,2015-04-03T14:58:45+00:00,"['disaster relief', 'disease', 'ebola', 'global issues', 'medicine', 'war']","['Bahasa Indonesia', 'Dansk', 'Deutsch', 'English', 'Español', 'Français', 'Français canadien', 'Galego', 'Hrvatski', 'Italiano', 'Latviešu', 'Lietuvių kalba', 'Magyar', 'Nederlands', ""O'zbek"", 'Polski', 'Português brasileiro', 'Português de Portugal', 'Română', 'Shqip', 'Slovenčina', 'Svenska', 'Tiếng Việt', 'Türkçe', 'Čeština', 'Ελληνικά', 'Монгол', 'Русский', 'Српски, Srpski', 'Українська', 'български', 'македонски', 'עברית', 'العربية', 'فارسى', 'کوردی', 'ภาษาไทย', 'မြန်မာဘာသာ', '中文 (简体)', '中文 (粵語)', '中文 (繁體)', '日本語', '한국어']",Bill Gates,"Technologist, philanthropist"
https://www.ted.com/talks/cameron_russell_looks_aren_t_everything_believe_me_i_m_a_model,"Looks aren't everything. Believe me, I'm a model.","Cameron Russell admits she won ""a genetic lottery"": she's tall, pretty and an underwear model. But don't judge her by her looks. In this fearless talk, she takes a wry look at the industry that had her looking highly seductive at barely 16 years old.",00:09:23,9.383333333333333,34878778,2013-01-16T16:05:54+00:00,"['TEDx', 'beauty', 'culture', 'fashion', 'photography']","['Bahasa Indonesia', 'Bahasa melayu', 'Català', 'Dansk', 'Deutsch', 'English', 'Español', 'Français', 'Hrvatski', 'Italiano', 'Latviešu', 'Lietuvių kalba', 'Magyar', 'Nederlands', ""O'zbek"", 'Polski', 'Português brasileiro', 'Português de Portugal', 'Română', 'Shqip', 'Slovenčina', 'Slovenščina', 'Svenska', 'Tiếng Việt', 'Türkçe', 'Čeština', 'Ελληνικά', 'Беларуская мова', 'Русский', 'Српски, Srpski', 'Українська', 'български', 'македонски', 'Հայրեն', 'עברית', 'العربية', 'فارسى', 'کوردی', 'বাংলা', 'ภาษาไทย', 'မြန်မာဘာသာ', '中文 (简体)', '中文 (繁體)', '日本語', '한국어']",Cameron Russell,Model
https://www.ted.com/talks/robert_waldinger_what_makes_a_good_life_lessons_from_the_longest_study_on_happiness,What makes a good life? Lessons from the longest study on happiness,"What keeps us happy and healthy as we go through life? If you think it's fame and money, you're not alone – but, according to psychiatrist Robert Waldinger, you're mistaken. As the director of a 75-year-old study on adult development, Waldinger has unprecedented access to data on true happiness and satisfaction. In this talk, he shares three important lessons learned from the study as well as some practical, old-as-the-hills wisdom on how to build a fulfilling, long life.",00:12:39,12.65,34370797,2015-12-23T16:57:21+00:00,"['TEDx', 'aging', 'data', 'health', 'humanity', 'life', 'happiness', 'relationships', 'society', 'time', 'work-life balance', 'friendship']","['Bahasa Indonesia', 'Dansk', 'Deutsch', 'Eesti keel', 'English', 'Español', 'Français', 'Galego', 'Hrvatski', 'Italiano', 'Latviešu', 'Lietuvių kalba', 'Magyar', 'Nederlands', ""O'zbek"", 'Polski', 'Português brasileiro', 'Português de Portugal', 'Română', 'Slovenčina', 'Slovenščina', 'Svenska', 'Tiếng Việt', 'Türkçe', 'Čeština', 'Ελληνικά', 'Беларуская мова', 'Монгол', 'Русский', 'Српски, Srpski', 'Українська', 'български', 'македонски', 'עברית', 'العربية', 'فارسى', 'کوردی', 'हिन्दी', 'తెలుగు', 'ภาษาไทย', 'မြန်မာဘာသာ', '中文 (简体)', '中文 (繁體)', '日本語', '한국어']",Robert Waldinger,"Psychiatrist, psychoanalyst, Zen priest"
