video_url,title,description,length,length_in_minutes,views,upload_date,related_tags,translations,speaker_name,speaker_profession,full_transcript
https://www.ted.com/talks/mike_brady_and_dion_drew_why_we_hire_unemployable_people,"Why we hire ""unemployable"" people","Trips to a bakery always ends with a cookie and a smile -- but at the bakery run by Mike Brady and Dion Drew, the extra icing is their goal of serving up a second chance. The recipe for the success of their enterprise includes a commitment to employing a range of chronically unemployed people, including former convicts and recovering addicts.",,,63102,2018-07-30T21:26:49+00:00,"['society', 'work', 'success']",,Mike Brady,Socially responsible dough puncher,{}
https://www.ted.com/talks/tan_le_how_does_the_brain_work_in_everyday_situations,How does the brain work in everyday situations?,"Brain research is something typically done in a hospital or lab, taking a look at a patient experiencing some sort of brain irregularity. Tan Le demonstrates how we can take a different approach to better understand the way the brain works in everyday situations.",,,63086,2018-02-12T16:10:11+00:00,"['neurology', 'technology', 'brain', 'cognitive science']",,Tan Le,Entrepreneur,{}
https://www.ted.com/talks/katherine_lucas_in_defense_of_extroverts,In defense of extroverts,"Katherine Lucas is an extrovert — but to her surprise, her cheerful smiles and warm approach gave others the impression that she was less intelligent and lacked leadership skills. Lucas identifies different types of extroverts and argues that the workplace needs them all.",,,61771,2018-07-30T20:52:58+00:00,"['leadership', 'society', 'work']",,Katherine Lucas,Extrovert Advocate,{}
https://www.ted.com/talks/patrice_thompson_a_millennial_s_proposal_for_a_happy_multigenerational_workplace,A millennial's proposal for a happy multigenerational workplace,"The unique challenges of integrating millennials into the workplace have been well explored. But what about the other side of the coin? Gen Y'er Patrice Thompson explores the issue from the Gen Y perspective. She charts the differences between Gen X and Gen Y, and maps out a few ways that organizations can create environments where workers of all ages can collaborate and succeed.",,,60531,2018-07-30T20:40:38+00:00,"['work', 'society', 'success']",,Patrice Thompson,Millenial liaison,{}
https://www.ted.com/talks/kelly_lepley_why_being_your_true_self_is_the_most_selfless_act,Why being your true self is the most selfless act,"With a lesson for us all, UPS Pilot Kelly Lepley shares her painful and liberating journey from male to female. She shares how her life in hiding made her less generous and less present, and caused everyone from her family, co-workers and the larger community, to suffer. In this deeply personal talk, she explains how the pain of inauthenticity can make us selfish, while embracing ourselves has the potential to make us selfless in ways we never imagined.",,,60462,2018-05-04T19:49:02+00:00,"['self', 'Gender spectrum', 'gender equality']",,Kelly Lepley,"Pilot, gender advocate",{}
https://www.ted.com/talks/esther_ndichu_hunger_isn_t_a_food_issue_it_s_a_logistics_issue,Hunger isn't a food issue. It's a logistics issue,"Most people presume that world hunger is caused by a lack of food. But Esther Ndichu, Humanitarian Supply Chain Director at UPS, argues that the real issue is logistics. She points out that farmers often struggle to get goods to market and that food often rots just miles from the neediest people. She explains that by fixing ""the last mile"" hunger can be solved in our lifetime.",,,59913,2018-05-04T19:22:33+00:00,"['food', 'global development', 'agriculture']",,Esther Ndichu,Humanitarian advocate,{}
https://www.ted.com/talks/ronald_murray_the_language_of_ballroom_culture,The language of ballroom culture,"Between television, the movies and top 40 lists, ballroom culture was appropriated by pop culture decades ago. With the spectacular support of a team of dancers, community leader Ronald Murray reclaims the subculture's narrative for queer communities of color.",,,59054,2019-01-04T18:17:40+00:00,"['art', 'performance', 'LGBT', 'dance', 'race']",,Ronald Murray,Community leader,{}
https://www.ted.com/talks/elijah_cummings_wake_up_america_we_are_better_than_this,Wake Up America — we are better than this!,"In a powerful and wide ranging discussion, Congressman Elijah Cummings implores Americans to hold a mirror to ourselves and ask if we like what we have become. He argues that we should throw out the labels that divide us and focus on being Americans, and that it is our duty to leave our democracy in tact for future generations. The video is taken from excerpts from an interview with TEDxMidAtlantic curator, Dave Troy, recorded on March 30, 2019, in Washington, D.C.",,,57863,2019-10-22T13:48:56+00:00,['global issues'],,Elijah Cummings,,{}
https://www.ted.com/talks/mary_l_gray_the_new_invisible_workforce,The new invisible workforce,"""We are living through the tech-enabled unraveling of full-time employment itself,"" says anthropologist Mary L. Gray. As the pandemic exposes and accelerates the shift to on-demand online labor, Gray takes us inside the jobs being created to solve the problems artificial intelligence can't handle -- and explains why our economic recovery hinges on extending essential benefits to all workers. (This virtual conversation, hosted by TED business curator Corey Hajim, was recorded July 6, 2020.)",,,60429,2020-07-21T19:48:45+00:00,"['economics', 'work', 'future', 'coronavirus', 'pandemic', 'society', 'social change']",,Mary L. Gray,Anthropologist,{}
https://www.ted.com/talks/john_o_leary_the_importance_of_good_conversation_and_how_to_have_it,The importance of good conversation – and how to have it,"The night before the Challenger exploded, NASA had a three-hour conference call with a company that knew the shuttle would fail. Why did NASA not abort the mission? John O'Leary explores what makes for an effective conversation. He lists three myths that can lead to destructive silence, and vital techniques to enable good conversation for groups everywhere.",,,56831,2018-07-30T20:38:21+00:00,"['communication', 'society', 'business']",,John O'Leary,Conversation champion,{}
https://www.ted.com/talks/debbie_millman_love_letters_to_what_we_hold_dear,Love letters to what we hold dear,"In a series of visual, animated love letters, designer Debbie Millman reflects on the things she's grateful for by exploring the wonders of her garden, New York City, travel and storytelling. ""As we navigate through this crisis, I'm hopeful we will find some solace together,"" she says.",,,65660,2020-07-24T20:02:00+00:00,"['love', 'storytelling', 'travel', 'garden']",,Debbie Millman,Design evangelist,{}
https://www.ted.com/talks/david_carroll_how_i_sued_cambridge_analytica_over_my_personal_data,How I sued Cambridge Analytica over my personal data,"In 2018, media professor David Carroll filed a legal claim against infamous data analytics firm Cambridge Analytica. He wanted his data -- which the firm misappropriated, along with that of millions of other internet users. In this fascinating talk, he shares the story of his crusade, demonstrating the now-undeniable link between data rights and democracy.",,,55614,2019-11-05T15:14:06+00:00,"['technology', 'privacy', 'Internet', 'law', 'data']",,David Carroll,,{}
https://www.ted.com/talks/irene_mora_for_women_in_pursuit_of_motherhood_and_a_career,For women in pursuit of motherhood and a career,"Irene Mora credits her own ambition and drive to her mother, the successful CEO of a multinational company. From her unique childhood -- hopping around the world and being exposed to new environments -- Mora learned valuable skills that later informed and helped her excel in business, including adaptability, authenticity and independence. Mora encourages mothers to pursue a family and a career -- their kids may just thank them for it.",,,55410,2018-01-08T14:25:59+00:00,"['family', 'children', 'women in business', 'women', 'parenting']",,Irene Mora,Defending daughter,{}
https://www.ted.com/talks/edwidge_danticat_stories_of_haiti,Stories of Haiti,"In the midst of an earlier crisis, Haitian author Edwidge Danticat reminds us of the contributions of Haiti's vibrant culture and people. This reading offers a timely message for today -- as the nation struggles in the aftermath of a devastating earthquake.",,,55281,2010-01-14T15:04:00+00:00,"['disaster relief', 'novel', 'poetry', 'storytelling', 'books']",,Edwidge Danticat,Author,{}
https://www.ted.com/talks/janne_willems_why_i_ask_strangers_to_draw_their_memories,Why I ask strangers to draw their memories,"For her social art project, Seize Your Moments, artist Janne Willems approaches strangers and asks them to draw beautiful moments from the past week on postcards. So far, Willems has collected nearly 11,000 drawings from 30 different countries. In her endearing talk, Willems shares a moving selection of intensely personal treasured moments from her travels.",,,55137,2019-05-22T18:08:22+00:00,"['happiness', 'beauty', 'art', 'arts', 'design', 'curiosity']",,Janne Willems,Artist,{}
https://www.ted.com/talks/nicola_sturgeon_what_brexit_means_for_scotland,What Brexit means for Scotland,"First Minister of Scotland Nicola Sturgeon joined TEDSummit in Edinburgh to deliver a visionary talk about making collective well-being the main aim of public policy and the economy. Watch the full talk at go.ted.com/nicolasturgeon. It was a charged week in UK politics; that same morning, Boris Johnson assumed office as Prime Minister of the United Kingdom. After the talk, Head of TED Chris Anderson joined First Minister Sturgeon to ask a few questions about the political situation in the UK.",,,55103,2019-07-30T22:07:42+00:00,"['politics', 'social change', 'leadership', 'government', 'society']",,Nicola Sturgeon,First Minister of Scotland,{}
